node_id,node_attr
0,user:current_user
1,item:b00009b8fe
2,time_bucket:2006_04
3,category:digital_music
4,category:cds_vinyl
5,category:comedy_spoken_word
6,category:interviews
7,store:sarah_brightman_format:_audio_cd
8,price_range:medium
9,item:b00009vu2u
10,time_bucket:2006_06
11,category:pop
12,category:oldies
13,category:traditional_pop
14,store:frank_sinatra_format:_audio_cd
15,price_range:unknown
16,aspect:price
17,aspect:quality
18,aspect:packaging
19,item:b000foq0qo
20,time_bucket:2006_07
21,category:books
22,category:international_music
23,category:europe
24,store:tiziano_ferro_artist
25,aspect:delivery
