node_id,node_attr
0,user:current_user
1,item:b00002epmb
2,time_bucket:2001_04
3,category:digital_music
4,category:cds_vinyl
5,category:broadway_vocalists
6,category:musicals
7,store:cirque_du_soleil_cirque_du_soleil_format:_audio_cd
8,price_range:low
9,item:b000002m7v
10,category:international_music
11,category:north_america
12,category:native_american
13,store:various_artists_artist_format:_audio_cd
14,item:b00005iaft
15,time_bucket:2001_06
16,store:sarah_brightman_format:_audio_cd
17,price_range:medium
