node_id,node_attr
0,user:current_user
1,item:b00004svjl
2,time_bucket:2001_10
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:dance_dj
7,category:dance_general
8,category:cds_7_-_10
9,store:center_stage_music_from_the_motion_picture_artist_format:_audio_cd
10,price_range:low
11,item:b000002bsg
12,category:international_music
13,category:europe
14,category:britain_ireland
15,category:britain
16,store:jamiroquai_format:_audio_cd
17,price_range:medium
18,item:b000003p1f
19,category:australia_new_zealand
20,store:david_hudson_format:_audio_cd
21,aspect:quality
