node_id,node_attr
0,user:current_user
1,item:b000sukpr0
2,time_bucket:2007_08
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:adult_contemporary
7,store:darren_hayes_format:_audio_cd
8,price_range:medium
9,item:b000ssesvg
10,price_range:premium
11,aspect:packaging
12,aspect:size
13,item:b0000af1li
14,time_bucket:2008_03
15,category:classical
16,category:chamber_music
17,store:itzhak_perlman_artist_performer_dov_seltzer_conductor_israel_philharmonic_orches
18,price_range:low
19,aspect:delivery
20,aspect:performance
