node_id,node_attr
0,user:current_user
1,item:b000007u3g
2,time_bucket:2010_04
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:france
9,store:france_gall_format:_audio_cd
10,price_range:medium
11,item:b0014dod6o
12,time_bucket:2010_10
13,category:classical
14,category:forms_genres
15,category:theatrical_incidental_program_music
16,category:overtures
17,store:varsovial_sinfonia_hobson_ian_artist_format:_audio_cd
18,item:b0000028rt
19,time_bucket:2016_07
20,category:today_s_deals_in_music
21,category:christian_gospel
22,category:christian_general
23,category:cds_7_-_10
24,store:connie_smith_format:_audio_cd
25,price_range:unknown
