node_id,node_attr
0,user:current_user
1,item:b000001edz
2,time_bucket:2006_08
3,category:digital_music
4,category:cds_vinyl
5,category:country
6,category:classic_country
7,category:nashville_sound
8,store:roger_miller_format:_audio_cd
9,price_range:high
10,item:b00006ryiy
11,store:johnny_duncan_format:_audio_cd
12,price_range:medium
13,item:b000002oek
14,category:today_s_deals_in_music
15,category:country_general
16,category:cds_7_-_10
17,store:country_music_hall_of_fame_series_red_foley_format:_audio_cd
18,price_range:low
