node_id,node_attr
0,user:current_user
1,item:b000068vst
2,time_bucket:2005_02
3,category:digital_music
4,category:cds_vinyl
5,category:country
6,category:outlaw_country
7,store:gordon_lightfoot_format:_audio_cd
8,price_range:unknown
9,aspect:performance
10,item:b000003gyk
11,time_bucket:2005_04
12,category:pop
13,category:oldies
14,category:baroque_pop
15,store:nancy_sinatra_format:_audio_cd
16,price_range:medium
17,item:b000009pnn
18,category:today_s_deals_in_music
19,category:alternative_rock
20,category:alternative_general
21,category:cds_7_-_10
22,store:squirrel_nut_zippers_format:_audio_cd
23,price_range:low
24,aspect:price
25,aspect:fit
