node_id,node_attr
0,user:current_user
1,item:b009vjfaga
2,time_bucket:2017_02
3,category:books
4,category:cds_vinyl
5,category:holiday_wedding
6,category:christmas
7,store:john_denver
8,feature:digitally_remastered_edition_of_this_1979_holiday_classic_that_features_singer_s
9,price_range:medium
10,item:b0001xapag
11,category:digital_music
12,category:christian_gospel
13,category:country_bluegrass
14,store:the_oak_ridge_boys_format:_audio_cd
15,price_range:low
16,item:b000009ccr
17,category:today_s_deals_in_music
18,category:christian_general
19,category:cds_under_7
