node_id,node_attr
0,user:current_user
1,item:b00005o6pa
2,time_bucket:2002_02
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:france
9,store:yann_tiersen_format:_audio_cd
10,price_range:medium
11,item:b000002g18
12,time_bucket:2002_03
13,category:broadway_vocalists
14,category:musicals
15,store:brightman_sarah_artist_format:_audio_cd
16,aspect:price
17,aspect:value
18,item:b000005s58
19,store:sarah_brightman_format:_audio_cd
20,price_range:low
