node_id,node_attr
0,user:current_user
1,item:b00018d44u
2,time_bucket:2008_04
3,category:digital_music
4,category:cds_vinyl
5,category:broadway_vocalists
6,category:cabaret
7,store:norah_jones_format:_audio_cd
8,price_range:low
9,aspect:scent
10,aspect:performance
11,item:b00006jl4j
12,category:today_s_deals_in_music
13,category:pop
14,category:adult_contemporary
15,category:cds_7_-_10
16,store:rod_stewart_format:_audio_cd
17,aspect:delivery
18,aspect:taste
19,item:b00005jrzl
20,time_bucket:2008_05
21,category:international_music
22,category:europe
23,category:continental_europe
24,category:france
25,store:celine_dion_format:_audio_cd
26,price_range:medium
