node_id,node_attr
0,user:current_user
1,item:b000002juc
2,time_bucket:2016_06
3,category:digital_music
4,category:cds_vinyl
5,category:folk
6,category:traditional_folk
7,store:jim_croce_format:_audio_cd
8,price_range:low
9,item:b004kbsqow
10,time_bucket:2016_07
11,category:international_music
12,category:pacific_islands
13,category:hawaii
14,store:israel_iz_kamakawiwo_ole_format:_audio_cd
15,price_range:medium
16,item:b00005r8e1
17,time_bucket:2016_11
18,category:pop
19,category:oldies
20,category:girl_groups
21,store:various_artists_artist_format:_audio_cd
