node_id,node_attr
0,user:current_user
1,item:b0001xapag
2,time_bucket:2017_02
3,category:digital_music
4,category:cds_vinyl
5,category:christian_gospel
6,category:country_bluegrass
7,store:the_oak_ridge_boys_format:_audio_cd
8,price_range:low
9,item:b000009ccr
10,category:today_s_deals_in_music
11,category:christian_general
12,category:cds_under_7
13,item:b00006la1k
14,category:opera_classical_vocal
15,category:vocal_non-opera
16,category:noels
17,store:gatlin_brothers_format:_audio_cd
18,price_range:medium
