node_id,node_attr
0,user:current_user
1,item:b00005a9nk
2,time_bucket:2002_01
3,category:digital_music
4,category:cds_vinyl
5,category:opera_classical_vocal
6,category:vocal_non-opera
7,category:masses
8,store:george_frideric_handel_composer_johann_sebastian_bach_composer_john_nelson_condu
9,price_range:medium
10,item:b000007q6l
11,category:soundtracks
12,category:movie_soundtracks
13,store:smith_b._c._composer_format:_audio_cd
14,item:b00005ibzg
15,time_bucket:2002_02
16,category:dance_electronic
17,category:trip-hop
18,store:nelly_furtado_format:_audio_cd
19,price_range:low
20,aspect:price
21,aspect:value
