node_id,node_attr
0,user:current_user
1,item:b0002s94f2
2,time_bucket:2008_08
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:jazz
7,category:vocal_jazz
8,category:cds_7_-_10
9,store:frank_sinatra_format:_audio_cd
10,price_range:medium
11,item:b000001ao8
12,time_bucket:2008_09
13,category:pop
14,category:oldies
15,category:girl_groups
16,store:motown_40_forever_artist_format:_audio_cd
17,price_range:low
18,item:b000wc45se
19,category:international_music
20,category:europe
21,category:britain_ireland
22,category:britain
23,store:the_puppini_sisters_format:_audio_cd
24,aspect:fit
