node_id,node_attr
0,user:current_user
1,item:b0000dbjdb
2,time_bucket:2008_03
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:france
9,store:various_artists_artist_format:_audio_cd
10,price_range:medium
11,aspect:delivery
12,item:b000a2h0si
13,category:spain
14,store:vicente_amigo_format:_audio_cd
15,item:b000o17152
16,category:jazz
17,category:vocal_jazz
18,store:the_puppini_sisters_format:_audio_cd
19,price_range:low
20,aspect:design
21,aspect:fit
