node_id,node_attr
0,user:current_user
1,item:b0000026mo
2,time_bucket:2006_09
3,category:digital_music
4,category:cds_vinyl
5,category:jazz
6,category:swing_jazz
7,category:classic_big_band
8,store:guy_lombardo_format:_audio_cd
9,price_range:medium
10,item:b000002m59
11,category:pop
12,category:dance_pop
13,store:maria_muldaur_format:_audio_cd
14,price_range:low
15,item:b00000273m
16,category:today_s_deals_in_music
17,category:pop_rock
18,category:cds_7_-_10
19,store:the_bangles_format:_audio_cd
