node_id,node_attr
0,user:current_user
1,item:b000000ecn
2,time_bucket:2006_07
3,category:digital_music
4,category:cds_vinyl
5,category:classic_rock
6,category:psychedelic_rock
7,store:country_joe_the_fish_format:_audio_cd
8,price_range:low
9,aspect:comfort
10,item:b00000i3us
11,category:international_music
12,category:pacific_islands
13,category:hawaii
14,store:israel_iz_kamakawiwo_ole_format:_audio_cd
15,price_range:medium
16,item:b000001edz
17,time_bucket:2006_08
18,category:country
19,category:classic_country
20,category:nashville_sound
21,store:roger_miller_format:_audio_cd
22,price_range:high
