node_id,node_attr
0,user:current_user
1,item:b00005j9xr
2,time_bucket:2002_04
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:soundtracks
7,category:soundtracks_general
8,category:cds_7_-_10
9,store:salvatore_licitra_performer_kronos_quartet_performer_taraf_de_haidouks_performer
10,price_range:low
11,item:6305614350
12,category:movies_tv
13,category:pop
14,category:adult_contemporary
15,store:sarah_brightman_actor_david_mallet_director_frank_peterson_director_0_more_rated
16,price_range:medium
17,aspect:quality
18,aspect:performance
19,item:b00004tzyf
20,category:folk
21,category:british_celtic_folk
22,category:celtic_folk
23,store:karan_casey_format:_audio_cd
