node_id,node_attr
0,user:current_user
1,item:b0006h0fgg
2,time_bucket:2017_02
3,category:digital_music
4,category:cds_vinyl
5,category:holiday_wedding
6,category:christmas
7,store:sandi_patti_artist_canadian_brass_performer_the_mormon_tabernacle_choir_performe
8,price_range:low
9,item:b009vjfaga
10,category:books
11,store:john_denver
12,feature:digitally_remastered_edition_of_this_1979_holiday_classic_that_features_singer_s
13,price_range:medium
14,item:b0001xapag
15,category:christian_gospel
16,category:country_bluegrass
17,store:the_oak_ridge_boys_format:_audio_cd
