node_id,node_attr
0,user:current_user
1,item:b00026wt42
2,time_bucket:2005_02
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:latin_music
7,category:latin_general
8,category:cds_7_-_10
9,store:marc_anthony_format:_audio_cd
10,price_range:low
11,aspect:delivery
12,item:b0001avzee
13,category:latin_pop
14,store:david_bisbal_format:_audio_cd
15,price_range:medium
16,aspect:fit
17,item:b000006sng
18,time_bucket:2005_03
19,category:international_music
20,category:europe
21,category:continental_europe
22,category:spain
23,store:joan_baez_format:_audio_cd
