node_id,node_attr
0,user:current_user
1,item:b00005iaft
2,time_bucket:2001_06
3,category:digital_music
4,category:cds_vinyl
5,category:broadway_vocalists
6,category:musicals
7,store:sarah_brightman_format:_audio_cd
8,price_range:medium
9,item:b00005allx
10,category:movies_tv
11,category:pop
12,category:vocal_pop
13,store:trevor_barry_actor_vanessa_brierley_actor_bruce_gowers_director_0_more_rated:_un
14,item:b0000501cn
15,time_bucket:2001_07
16,category:international_music
17,store:garou_format:_audio_cd
