node_id,node_attr
0,user:current_user
1,item:b000o17152
2,time_bucket:2008_03
3,category:digital_music
4,category:cds_vinyl
5,category:jazz
6,category:vocal_jazz
7,store:the_puppini_sisters_format:_audio_cd
8,price_range:low
9,aspect:design
10,aspect:fit
11,item:b00004vs5p
12,category:dance_electronic
13,category:world_dance
14,store:roch_voisine_format:_audio_cd
15,price_range:high
16,item:b00004x0ku
17,category:international_music
18,category:middle_east
19,category:israel
20,store:the_klezmatics_artist_the_burning_bush_artist_klezroym_artist_zohar_artist_ofra_
21,price_range:medium
