node_id,node_attr
0,user:current_user
1,item:b00ec6vqds
2,time_bucket:2017_02
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:spain
9,store:armik_format:_audio_cd
10,price_range:medium
11,item:b0000062p5
12,time_bucket:2017_09
13,category:jazz
14,category:jazz_fusion
15,store:chuck_mangione_format:_audio_cd
16,item:b00004nkak
17,time_bucket:2018_04
18,category:today_s_deals_in_music
19,category:new_age
20,category:new_age_general
21,category:cds_7_-_10
22,store:various_artist_format:_audio_cd
23,price_range:low
