node_id,node_attr
0,user:current_user
1,item:b000009mv1
2,time_bucket:2002_01
3,category:digital_music
4,category:cds_vinyl
5,category:dance_electronic
6,category:world_dance
7,store:lhasa_de_sela_format:_audio_cd
8,price_range:low
9,item:b00005o6eh
10,category:international_music
11,category:north_america
12,category:native_american
13,store:ulali_format:_audio_cd
14,price_range:medium
15,item:b000050a7k
16,category:opera_classical_vocal
17,category:vocal_non-opera
18,category:songs_lieder
19,category:folk_songs
20,store:andreas_scholl_artist_george_frederick_handel_composer_antonio_vivaldi_composer_
21,aspect:taste
