node_id,node_attr
0,user:current_user
1,item:b0000062p5
2,time_bucket:2017_09
3,category:digital_music
4,category:cds_vinyl
5,category:jazz
6,category:jazz_fusion
7,store:chuck_mangione_format:_audio_cd
8,price_range:medium
9,item:b00004nkak
10,time_bucket:2018_04
11,category:today_s_deals_in_music
12,category:new_age
13,category:new_age_general
14,category:cds_7_-_10
15,store:various_artist_format:_audio_cd
16,price_range:low
17,item:b07z76y18x
18,time_bucket:2019_12
19,category:soundtracks
20,store:terence_blanchard_artist_format:_audio_cd
