node_id,node_attr
0,user:current_user
1,item:b000002m7v
2,time_bucket:2001_04
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:north_america
7,category:native_american
8,store:various_artists_artist_format:_audio_cd
9,price_range:low
10,item:b00005iaft
11,time_bucket:2001_06
12,category:broadway_vocalists
13,category:musicals
14,store:sarah_brightman_format:_audio_cd
15,price_range:medium
16,item:b00005allx
17,category:movies_tv
18,category:pop
19,category:vocal_pop
20,store:trevor_barry_actor_vanessa_brierley_actor_bruce_gowers_director_0_more_rated:_un
