node_id,node_attr
0,user:current_user
1,item:b0014sm9fq
2,time_bucket:2008_06
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:france
9,store:garou_format:_audio_cd
10,price_range:medium
11,item:b00187pnbu
12,time_bucket:2008_08
13,category:pop
14,category:euro_pop
15,category:french_pop
16,store:putumayo_kids_presents_format:_audio_cd
17,price_range:low
18,aspect:price
19,item:b0002s94f2
20,category:today_s_deals_in_music
21,category:jazz
22,category:vocal_jazz
23,category:cds_7_-_10
24,store:frank_sinatra_format:_audio_cd
