node_id,node_attr
0,user:current_user
1,item:b00006jia4
2,time_bucket:2016_11
3,category:digital_music
4,category:cds_vinyl
5,category:rock
6,category:progressive
7,category:progressive_rock
8,store:queen_format:_audio_cd
9,price_range:medium
10,item:b00004ub8a
11,category:holiday_wedding
12,category:christmas
13,store:zubin_mehta_conductor_james_levine_conductor_placido_domingo_performer_jose_care
14,item:b0018lmkik
15,category:country_rock
16,store:creedence_clearwater_revival_format:_audio_cd
17,price_range:unknown
18,aspect:value
