node_id,node_attr
0,user:current_user
1,item:b000000xch
2,time_bucket:2004_08
3,category:digital_music
4,category:cds_vinyl
5,category:classic_rock
6,category:album-oriented_rock_aor
7,store:creedence_clearwater_revival_format:_audio_cd
8,price_range:medium
9,item:b000004ate
10,time_bucket:2004_10
11,category:jazz
12,category:swing_jazz
13,category:contemporary_big_band
14,store:squirrel_nut_zippers_format:_audio_cd
15,item:b000006oam
16,time_bucket:2004_12
17,category:folk
18,category:traditional_folk
19,store:natalie_merchant_ralph_farris_format:_audio_cd
