node_id,node_attr
0,user:current_user
1,item:b000002pch
2,time_bucket:2004_07
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:pop
7,category:pop_rock
8,category:cds_7_-_10
9,store:cass_elliot_format:_audio_cd
10,price_range:medium
11,item:b000001fdk
12,category:soundtracks
13,category:movie_soundtracks
14,store:olivia_newton-john_stockard_channing_warren_casey_jim_jacobs_sha_na_na_grease_re
15,price_range:low
16,item:b000003g2c
17,time_bucket:2004_08
18,category:oldies
19,category:traditional_pop
20,store:louis_armstrong_artist_format:_audio_cd
