node_id,node_attr
0,user:current_user
1,item:b000esstmo
2,time_bucket:2006_06
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:adult_alternative
7,store:jewel_format:_audio_cd
8,price_range:medium
9,item:b000002onn
10,category:today_s_deals_in_music
11,category:broadway_vocalists
12,category:traditional_vocal_pop
13,category:cds_7_-_10
14,store:richard_harris_format:_audio_cd
15,aspect:quality
16,item:b000002b0e
17,category:oldies
18,category:traditional_pop
19,store:boswell_sisters_format:_audio_cd
