node_id,node_attr
0,user:current_user
1,item:b00008bx4z
2,time_bucket:2006_12
3,category:digital_music
4,category:cds_vinyl
5,category:jazz
6,category:swing_jazz
7,category:vintage_dance_bands
8,store:bowlly_al_artist_format:_audio_cd
9,price_range:unknown
10,item:b00004su9z
11,category:folk
12,category:traditional_folk
13,store:malvina_reynolds_format:_audio_cd
14,price_range:medium
15,item:b00004tjb2
16,time_bucket:2007_02
17,category:pop
18,category:oldies
19,category:traditional_pop
20,store:various_artists_artist_format:_audio_cd
21,aspect:quality
