node_id,node_attr
0,user:current_user
1,item:b00006ryiy
2,time_bucket:2006_08
3,category:digital_music
4,category:cds_vinyl
5,category:country
6,category:classic_country
7,category:nashville_sound
8,store:johnny_duncan_format:_audio_cd
9,price_range:medium
10,item:b000002oek
11,category:today_s_deals_in_music
12,category:country_general
13,category:cds_7_-_10
14,store:country_music_hall_of_fame_series_red_foley_format:_audio_cd
15,price_range:low
16,item:b0009vi4n0
17,category:pop
18,category:soft_rock
19,store:bertie_higgins_format:_audio_cd
20,aspect:quality
21,aspect:delivery
