node_id,node_attr
0,user:current_user
1,item:b00005y7i2
2,time_bucket:2021_01
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:oldies
7,category:doo_wop
8,store:various_artists_artist_format:_audio_cd
9,price_range:medium
10,item:b00005r8dv
11,category:holiday_wedding
12,category:christmas
13,store:temptations_format:_audio_cd
14,price_range:low
15,item:b0000e1wke
16,category:today_s_deals_in_music
17,category:pop_general
18,category:cds_7_-_10
19,store:whitney_houston_format:_audio_cd
