node_id,node_attr
0,user:current_user
1,item:b00008mlsk
2,time_bucket:2007_03
3,category:digital_music
4,category:cds_vinyl
5,category:jazz
6,category:swing_jazz
7,category:classic_big_band
8,store:maria_muldaur_dan_hicks_format:_audio_cd
9,price_range:medium
10,aspect:quality
11,item:b000i8omnu
12,category:country
13,category:classic_country
14,store:various_artists_artist_format:_audio_cd
15,price_range:low
16,item:b00000j5zu
17,category:rock
18,category:oldies_retro
19,category:rockabilly
20,store:ricky_nelson_format:_audio_cd
21,aspect:value
