node_id,node_attr
0,user:current_user
1,item:b001iqdaxy
2,time_bucket:2009_03
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:italy
9,store:tiziano_ferro_format:_audio_cd
10,price_range:medium
11,aspect:scent
12,aspect:performance
13,item:b000jrynwk
14,time_bucket:2009_04
15,category:r_b
16,category:motown
17,store:various_artists_artist_the_isley_brothers_performer_the_monitors_performer_marv_
18,price_range:unknown
19,item:b000y14u4m
20,time_bucket:2009_06
21,category:pop
22,category:adult_contemporary
23,store:natasha_bedingfield_format:_audio_cd
