node_id,node_attr
0,user:current_user
1,item:b00004nkbf
2,time_bucket:2001_11
3,category:digital_music
4,category:cds_vinyl
5,category:dance_electronic
6,category:house
7,store:sonique_artist_format:_audio_cd
8,price_range:low
9,item:b00005tzav
10,category:pop
11,category:euro_pop
12,category:french_pop
13,store:roch_voisine_format:_audio_cd
14,price_range:medium
15,aspect:fit
16,item:b00000d9tk
17,time_bucket:2001_12
18,category:international_music
19,category:europe
20,category:continental_europe
21,category:france
22,store:celine_dion_format:_audio_cd
