node_id,node_attr
0,user:current_user
1,item:b00003iqj1
2,time_bucket:2001_12
3,category:digital_music
4,category:cds_vinyl
5,category:dance_electronic
6,category:ambient
7,store:emma_shapplin_format:_audio_cd
8,price_range:medium
9,item:b000005ddi
10,time_bucket:2002_01
11,category:pop
12,category:adult_alternative
13,store:jay_semko_format:_audio_cd
14,item:b00005r2m3
15,category:today_s_deals_in_music
16,category:dance_dj
17,category:dance_general
18,category:cds_7_-_10
19,store:shakira_format:_audio_cd
20,price_range:low
