node_id,node_attr
0,user:current_user
1,item:b004kbsqow
2,time_bucket:2016_07
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:pacific_islands
7,category:hawaii
8,store:israel_iz_kamakawiwo_ole_format:_audio_cd
9,price_range:medium
10,item:b00005r8e1
11,time_bucket:2016_11
12,category:pop
13,category:oldies
14,category:girl_groups
15,store:various_artists_artist_format:_audio_cd
16,item:b00000jwne
17,category:today_s_deals_in_music
18,category:pop_general
19,category:cds_7_-_10
20,store:smokey_robinson_the_miracles_artist_format:_audio_cd
21,price_range:low
22,aspect:price
