node_id,node_attr
0,user:current_user
1,item:b00004su9z
2,time_bucket:2006_12
3,category:digital_music
4,category:cds_vinyl
5,category:folk
6,category:traditional_folk
7,store:malvina_reynolds_format:_audio_cd
8,price_range:medium
9,item:b00004tjb2
10,time_bucket:2007_02
11,category:pop
12,category:oldies
13,category:traditional_pop
14,store:various_artists_artist_format:_audio_cd
15,aspect:quality
16,item:b000001kdf
17,category:today_s_deals_in_music
18,category:classical
19,category:classical_general
20,category:cds_under_7
21,store:foster_composer_sousa_composer_arthur_hannes_performer_0_more_format:_audio_cd
22,price_range:low
23,aspect:price
24,aspect:value
