node_id,node_attr
0,user:current_user
1,item:b00005allx
2,time_bucket:2001_06
3,category:movies_tv
4,category:cds_vinyl
5,category:pop
6,category:vocal_pop
7,store:trevor_barry_actor_vanessa_brierley_actor_bruce_gowers_director_0_more_rated:_un
8,price_range:medium
9,item:b0000501cn
10,time_bucket:2001_07
11,category:digital_music
12,category:international_music
13,store:garou_format:_audio_cd
14,item:b00004tqpq
15,time_bucket:2001_08
16,category:opera_classical_vocal
17,category:vocal_non-opera
18,category:odes
19,store:taylor_daniel_artist_format:_audio_cd
20,aspect:scent
