node_id,node_attr
0,user:current_user
1,item:b000000bb8
2,time_bucket:2008_05
3,category:digital_music
4,category:cds_vinyl
5,category:jazz
6,category:traditional_jazz_ragtime
7,category:ragtime
8,store:jo_ann_castle_format:_audio_cd
9,price_range:low
10,item:b000uae87q
11,time_bucket:2008_06
12,category:classical
13,category:forms_genres
14,category:theatrical_incidental_program_music
15,store:paul_potts_artist_format:_audio_cd
16,item:b000007u3g
17,time_bucket:2010_04
18,category:international_music
19,category:europe
20,category:continental_europe
21,category:france
22,store:france_gall_format:_audio_cd
23,price_range:medium
