node_id,node_attr
0,user:current_user
1,item:b0199ycbng
2,time_bucket:2016_05
3,category:books
4,category:cds_vinyl
5,category:pop
6,store:various_artist
7,feature:2016_release._now_that_s_what_i_call_music_57_features_16_major_current_hits_fro
8,price_range:medium
9,item:b003ztqn1s
10,time_bucket:2016_06
11,category:digital_music
12,category:country
13,category:today_s_country
14,store:brad_paisley_format:_audio_cd
15,price_range:low
16,item:b01e7fli2c
17,time_bucket:2018_01
18,store:various_artists_artist_format:_audio_cd
19,aspect:delivery
