node_id,node_attr
0,user:current_user
1,item:b000006oam
2,time_bucket:2004_12
3,category:digital_music
4,category:cds_vinyl
5,category:folk
6,category:traditional_folk
7,store:natalie_merchant_ralph_farris_format:_audio_cd
8,price_range:medium
9,item:b0000001p6
10,time_bucket:2005_01
11,category:blues
12,category:piano_blues
13,store:dr._john_format:_audio_cd
14,item:b000002ifl
15,category:today_s_deals_in_music
16,category:dance_dj
17,category:dance_general
18,category:cds_7_-_10
19,store:simply_red_format:_audio_cd
