node_id,node_attr
0,user:current_user
1,item:b00004ub8a
2,time_bucket:2016_11
3,category:digital_music
4,category:cds_vinyl
5,category:holiday_wedding
6,category:christmas
7,store:zubin_mehta_conductor_james_levine_conductor_placido_domingo_performer_jose_care
8,price_range:medium
9,item:b0018lmkik
10,category:rock
11,category:country_rock
12,store:creedence_clearwater_revival_format:_audio_cd
13,price_range:unknown
14,aspect:value
15,item:b0000cfw87
16,category:children_s_music
17,category:educational
18,store:josh_groban_format:_audio_cd
19,price_range:low
