node_id,node_attr
0,user:current_user
1,item:b000003gyk
2,time_bucket:2005_04
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:oldies
7,category:baroque_pop
8,store:nancy_sinatra_format:_audio_cd
9,price_range:medium
10,item:b000009pnn
11,category:today_s_deals_in_music
12,category:alternative_rock
13,category:alternative_general
14,category:cds_7_-_10
15,store:squirrel_nut_zippers_format:_audio_cd
16,price_range:low
17,aspect:price
18,aspect:fit
19,item:b0009i7o4s
20,time_bucket:2005_10
21,category:easy_listening
22,store:herb_alpert_tijuana_brass_format:_audio_cd
23,aspect:quality
