node_id,node_attr
0,user:current_user
1,item:b0000cd5fr
2,time_bucket:2016_11
3,category:digital_music
4,category:cds_vinyl
5,category:classic_rock
6,category:album-oriented_rock_aor
7,store:eagles_format:_audio_cd
8,price_range:medium
9,aspect:price
10,item:b00006jia4
11,category:rock
12,category:progressive
13,category:progressive_rock
14,store:queen_format:_audio_cd
15,item:b00004ub8a
16,category:holiday_wedding
17,category:christmas
18,store:zubin_mehta_conductor_james_levine_conductor_placido_domingo_performer_jose_care
