node_id,node_attr
0,user:current_user
1,item:b002pgo8gy
2,time_bucket:2009_11
3,category:digital_music
4,category:cds_vinyl
5,category:classical
6,store:the_priests_artist_format:_audio_cd
7,price_range:low
8,item:b0007zj3la
9,time_bucket:2010_01
10,category:pop
11,category:oldies
12,store:stevie_wonder_format:_audio_cd
13,price_range:high
14,aspect:price
15,aspect:performance
16,item:b002l5r73k
17,time_bucket:2010_05
18,category:r_b
19,category:soul
20,store:the_isley_brothers_format:_audio_cd
21,price_range:medium
22,aspect:fit
