node_id,node_attr
0,user:current_user
1,item:b00000jbdw
2,time_bucket:2008_03
3,category:digital_music
4,category:cds_vinyl
5,category:jazz
6,category:swing_jazz
7,category:classic_big_band
8,store:peggy_lee_benny_goodman_format:_audio_cd
9,price_range:low
10,aspect:performance
11,item:b000hojni4
12,time_bucket:2008_04
13,category:r_b
14,category:soul
15,store:howlin_wilf_the_vee-jays_artist_james_hunter_artist_format:_audio_cd
16,price_range:medium
17,item:b0000259am
18,category:international_music
19,category:europe
20,category:british_isles
21,category:britain
22,store:james_hunter_format:_audio_cd
23,price_range:unknown
24,aspect:scent
