node_id,node_attr
0,user:current_user
1,item:b000byrc0g
2,time_bucket:2005_11
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:adult_alternative
7,store:savage_garden_format:_audio_cd
8,price_range:medium
9,aspect:packaging
10,aspect:scent
11,aspect:fit
12,item:b000002n3h
13,category:opera_classical_vocal
14,category:vocal_non-opera
15,category:noels
16,store:loreena_mckennitt_format:_audio_cd
17,price_range:low
18,item:b0002ycvqk
19,time_bucket:2005_12
20,category:new_age
21,category:celtic_new_age
22,store:various_artist_format:_audio_cd
