node_id,node_attr
0,user:current_user
1,item:b00009vu2u
2,time_bucket:2006_06
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:oldies
7,category:traditional_pop
8,store:frank_sinatra_format:_audio_cd
9,price_range:unknown
10,aspect:price
11,aspect:quality
12,aspect:packaging
13,item:b000foq0qo
14,time_bucket:2006_07
15,category:books
16,category:international_music
17,category:europe
18,store:tiziano_ferro_artist
19,price_range:medium
20,aspect:delivery
21,item:b000e6uzak
22,time_bucket:2006_10
23,category:latin_music
24,category:flamenco
25,store:tarkan_format:_audio_cd
26,price_range:low
