node_id,node_attr
0,user:current_user
1,item:b000a2h0si
2,time_bucket:2008_03
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:spain
9,store:vicente_amigo_format:_audio_cd
10,price_range:medium
11,item:b000o17152
12,category:jazz
13,category:vocal_jazz
14,store:the_puppini_sisters_format:_audio_cd
15,price_range:low
16,aspect:design
17,aspect:fit
18,item:b00004vs5p
19,category:dance_electronic
20,category:world_dance
21,store:roch_voisine_format:_audio_cd
22,price_range:high
