node_id,node_attr
0,user:current_user
1,item:b0000003l7
2,time_bucket:2005_02
3,category:digital_music
4,category:cds_vinyl
5,category:indie_alternative
6,category:indie_lo-fi
7,category:indie_rock
8,store:brave_combo_tiny_tim_format:_audio_cd
9,price_range:high
10,item:b000068vst
11,category:country
12,category:outlaw_country
13,store:gordon_lightfoot_format:_audio_cd
14,price_range:unknown
15,aspect:performance
16,item:b000003gyk
17,time_bucket:2005_04
18,category:pop
19,category:oldies
20,category:baroque_pop
21,store:nancy_sinatra_format:_audio_cd
22,price_range:medium
