node_id,node_attr
0,user:current_user
1,item:b00004sbwu
2,time_bucket:2001_11
3,category:digital_music
4,category:cds_vinyl
5,category:new_age
6,category:healing
7,store:rasa_format:_audio_cd
8,price_range:low
9,aspect:size
10,item:b000001387
11,category:international_music
12,category:north_america
13,category:native_american
14,store:r._carlos_nakai_william_eaton_format:_audio_cd
15,price_range:medium
16,aspect:taste
17,aspect:comfort
18,item:b00005rgni
19,category:pop
20,category:oldies
21,category:traditional_pop
22,store:josh_groban_format:_audio_cd
