node_id,node_attr
0,user:current_user
1,item:b0000058ik
2,time_bucket:2016_11
3,category:digital_music
4,category:cds_vinyl
5,category:classical
6,category:forms_genres
7,category:theatrical_incidental_program_music
8,category:overtures
9,store:rossini_gioachino_composer_verdi_giuseppe_composer_bizet_georges_composer_puccin
10,price_range:low
11,item:b0041w566q
12,category:pop
13,category:oldies
14,store:various_original_artist_re-recording_artist_format:_audio_cd
15,item:b000b8i8jg
16,category:r_b
17,category:soul
18,category:blue-eyed_soul
19,store:righteous_brothers_format:_audio_cd
20,price_range:medium
