node_id,node_attr
0,user:current_user
1,item:b000i8omnu
2,time_bucket:2007_03
3,category:digital_music
4,category:cds_vinyl
5,category:country
6,category:classic_country
7,store:various_artists_artist_format:_audio_cd
8,price_range:low
9,aspect:quality
10,item:b00000j5zu
11,category:rock
12,category:oldies_retro
13,category:rockabilly
14,store:ricky_nelson_format:_audio_cd
15,price_range:medium
16,aspect:value
17,item:b000002wfd
18,time_bucket:2007_04
19,category:today_s_deals_in_music
20,category:pop
21,category:easy_listening
22,category:cds_7_-_10
23,store:hugo_montenegro_ennio_morricone_format:_audio_cd
24,aspect:performance
