node_id,node_attr
0,user:current_user
1,item:b000005s58
2,time_bucket:2002_03
3,category:digital_music
4,category:cds_vinyl
5,category:broadway_vocalists
6,category:musicals
7,store:sarah_brightman_format:_audio_cd
8,price_range:low
9,item:b00000j7w6
10,category:soundtracks
11,category:television_soundtracks
12,store:fred_mollin_forever_knight_related_recordings_format:_audio_cd
13,price_range:medium
14,aspect:size
15,item:b00000iau3
16,category:today_s_deals_in_music
17,category:pop
18,category:singer-songwriters
19,category:cds_7_-_10
20,store:dido_format:_audio_cd
21,aspect:quality
22,aspect:delivery
23,aspect:scent
24,aspect:taste
25,aspect:fit
