node_id,node_attr
0,user:current_user
1,item:b000001kf3
2,time_bucket:2005_11
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:classical
7,category:classical_general
8,category:cds_under_7
9,store:cohen_samuel_composer_goldfarb_composer_handel_george_frederick_composer_lewando
10,price_range:medium
11,aspect:price
12,item:b0007gaegc
13,category:international_music
14,category:europe
15,category:british_isles
16,category:ireland
17,store:celtic_woman_format:_audio_cd
18,price_range:low
19,item:b000byrc0g
20,category:pop
21,category:adult_alternative
22,store:savage_garden_format:_audio_cd
23,aspect:packaging
24,aspect:scent
25,aspect:fit
