node_id,node_attr
0,user:current_user
1,item:b000001ao8
2,time_bucket:2008_09
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:oldies
7,category:girl_groups
8,store:motown_40_forever_artist_format:_audio_cd
9,price_range:low
10,item:b000wc45se
11,category:international_music
12,category:europe
13,category:britain_ireland
14,category:britain
15,store:the_puppini_sisters_format:_audio_cd
16,price_range:medium
17,aspect:fit
18,item:b000bli3bg
19,time_bucket:2008_12
20,category:vocal_pop
21,store:lee_holdridge_composer_ron_perlman_performer_format:_audio_cd
22,price_range:high
23,aspect:delivery
