node_id,node_attr
0,user:current_user
1,item:b0001avzee
2,time_bucket:2005_02
3,category:digital_music
4,category:cds_vinyl
5,category:latin_music
6,category:latin_pop
7,store:david_bisbal_format:_audio_cd
8,price_range:medium
9,aspect:fit
10,item:b000006sng
11,time_bucket:2005_03
12,category:international_music
13,category:europe
14,category:continental_europe
15,category:spain
16,store:joan_baez_format:_audio_cd
17,item:b0002o09ka
18,time_bucket:2005_09
19,category:pop
20,category:adult_contemporary
21,store:darren_hayes_format:_audio_cd
22,price_range:low
23,aspect:price
24,aspect:scent
