node_id,node_attr
0,user:current_user
1,item:b000fp2iyq
2,time_bucket:2006_09
3,category:digital_music
4,category:cds_vinyl
5,category:folk
6,category:contemporary_folk
7,store:linda_ronstadt_linda_ronstadt_ann_savoy_-the_zozo_sisters_format:_audio_cd
8,price_range:medium
9,item:b00004tzzr
10,time_bucket:2006_10
11,category:classic_rock
12,category:southern_rock
13,store:the_amazing_rhythm_aces_format:_audio_cd
14,price_range:unknown
15,aspect:quality
16,aspect:fit
17,item:b000002koq
18,time_bucket:2006_11
19,category:rock
20,category:country_rock
21,store:joni_mitchell_format:_audio_cd
22,price_range:low
23,aspect:delivery
