node_id,node_attr
0,user:current_user
1,item:b00005ibzg
2,time_bucket:2002_02
3,category:digital_music
4,category:cds_vinyl
5,category:dance_electronic
6,category:trip-hop
7,store:nelly_furtado_format:_audio_cd
8,price_range:low
9,aspect:price
10,aspect:value
11,item:b00005o6pa
12,category:international_music
13,category:europe
14,category:continental_europe
15,category:france
16,store:yann_tiersen_format:_audio_cd
17,price_range:medium
18,item:b000002g18
19,time_bucket:2002_03
20,category:broadway_vocalists
21,category:musicals
22,store:brightman_sarah_artist_format:_audio_cd
