node_id,node_attr
0,user:current_user
1,item:b00000i3us
2,time_bucket:2006_07
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:pacific_islands
7,category:hawaii
8,store:israel_iz_kamakawiwo_ole_format:_audio_cd
9,price_range:medium
10,item:b000001edz
11,time_bucket:2006_08
12,category:country
13,category:classic_country
14,category:nashville_sound
15,store:roger_miller_format:_audio_cd
16,price_range:high
17,item:b00006ryiy
18,store:johnny_duncan_format:_audio_cd
