node_id,node_attr
0,user:current_user
1,item:b0000e6xhk
2,time_bucket:2004_01
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:italy
9,store:tiziano_ferro_format:_audio_cd
10,price_range:medium
11,aspect:delivery
12,aspect:taste
13,item:b0000ujk6k
14,time_bucket:2004_02
15,category:pop
16,category:euro_pop
17,category:french_pop
18,store:david_guetta_format:_audio_cd
19,item:b0000e6eir
20,time_bucket:2004_03
21,category:dance_electronic
22,category:world_dance
23,store:lhasa_de_sela_format:_audio_cd
24,price_range:low
